demo_points,sim_static_points,joint_angles
"[[137.9738311767578, 311.9915466308594], [188.0819091796875, 66.11074829101562], [369.653076171875, 121.599853515625], [349.6843566894531, 322.72479248046875], [317.61065673828125, 415.6281433105469], [388.74359130859375, 359.42120361328125], [428.1318664550781, 421.7216796875]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-5.716305590624328e-22, 0.1396236061384936, -0.4919084100394839, 0.20943951023931945, -7.430947740016104e-41, -3.5715142820844665e-33]"
"[[137.9696807861328, 311.9851379394531], [188.0884552001953, 66.11317443847656], [369.70281982421875, 121.5597152709961], [349.6837158203125, 322.7221984863281], [317.6105041503906, 415.62835693359375], [388.7477722167969, 359.41455078125], [428.1318664550781, 421.7216796875]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-5.144675031561883e-22, 0.13962360910912125, -0.49158503025163086, 0.20943951023931945, -4.982001175803006e-41, -3.217002622376002e-33]"
"[[137.97372436523438, 311.9915466308594], [191.0802459716797, 67.2781982421875], [373.156005859375, 127.27608489990234], [353.2915344238281, 328.6383056640625], [320.4179382324219, 421.2274169921875], [393.6904602050781, 363.671875], [428.1318664550781, 421.7216796875]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-4.630207528405684e-22, 0.1396236141908159, -0.49129400468300527, 0.20943951023931945, -3.757527893696457e-41, -2.8976638842276508e-33]"
"[[137.95779418945312, 311.99200439453125], [193.52137756347656, 68.41770935058594], [375.5146179199219, 132.6097412109375], [357.2383728027344, 333.9731140136719], [322.6426696777344, 425.816650390625], [399.0662536621094, 366.9775390625], [428.1316223144531, 421.72186279296875]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-4.167186775565106e-22, 0.13962362092335853, -0.49103209622452226, 0.20943951023931945, -2.5330546115899075e-41, -2.610011110584493e-33]"
"[[137.9591064453125, 311.99188232421875], [196.04698181152344, 69.56224060058594], [377.8845520019531, 137.1725311279297], [361.1418762207031, 338.69488525390625], [325.1916809082031, 429.7508850097656], [404.777099609375, 369.80938720703125], [428.1383972167969, 421.69256591796875]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-3.750468098008587e-22, 0.13962362891904756, -0.4907963916588031, 0.20943951023931945, -2.5330546115899075e-41, -2.3509027193255593e-33]"
"[[137.95948791503906, 311.9917907714844], [198.2177276611328, 70.698486328125], [380.2727355957031, 140.2582244873047], [364.7282409667969, 342.0932922363281], [328.0960693359375, 433.6730041503906], [409.972900390625, 371.7893371582031], [427.962158203125, 422.0539855957031]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-3.3754212882077202e-22, 0.13962363785249293, -0.490584269250595, 0.20943951023931945, -1.920817970536633e-41, -2.1175088302485727e-33]"
"[[137.95948791503906, 311.9917907714844], [198.2183837890625, 70.69987487792969], [380.2644958496094, 140.27500915527344], [364.7266845703125, 342.0928649902344], [328.1431884765625, 433.8668518066406], [409.97918701171875, 371.7931213378906], [427.96234130859375, 422.0542297363281]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-3.037879159386941e-22, 0.1396236474517853, -0.49039336958064256, 0.20943951023931945, -1.3085813294833583e-41, -1.9072785716333176e-33]"
"[[137.94996643066406, 312.00152587890625], [199.92816162109375, 71.49067687988281], [382.09710693359375, 142.54855346679688], [368.7380065917969, 344.81292724609375], [331.3430480957031, 436.7015075683594], [415.3706359863281, 373.2672119140625], [427.973388671875, 422.0440368652344]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-2.734091243448241e-22, 0.13962365749085565, -0.4902215692983282, 0.20943951023931945, -1.920817970536633e-41, -1.7179140112054635e-33]"
"[[137.94532775878906, 312.00323486328125], [201.4846649169922, 72.44757080078125], [384.00714111328125, 143.5997314453125], [372.53070068359375, 346.7755432128906], [334.0209045410156, 438.7863464355469], [420.3512878417969, 374.544677734375], [427.9730224609375, 422.0438232421875]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-2.460682119103411e-22, 0.13962366778286645, -0.4900669575009171, 0.20943951023931945, -1.920817970536633e-41, -1.5473458258524484e-33]"
"[[137.9468994140625, 312.00323486328125], [202.59352111816406, 73.21269226074219], [385.0047302246094, 145.13653564453125], [375.756103515625, 348.32568359375], [336.5419006347656, 440.7494201660156], [424.70330810546875, 375.8447265625], [427.97308349609375, 422.04449462890625]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-2.214613907193065e-22, 0.13962367817449683, -0.48992781447650247, 0.20943951023931945, -1.3085813294833583e-41, -1.3937087754236395e-33]"
"[[137.95718383789062, 311.9827575683594], [203.5659637451172, 73.86195373535156], [385.5754699707031, 147.10269165039062], [377.8581237792969, 350.12457275390625], [338.2334899902344, 443.1164855957031], [427.8610534667969, 377.2722473144531], [427.9727478027344, 422.0445556640625]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.9931525164737539e-22, 0.13962368854100346, -0.48980259257407244, 0.20943951023931945, -1.002463008956721e-41, -1.2553231488989255e-33]"
"[[137.9380645751953, 312.0086975097656], [203.56581115722656, 73.86229705810547], [385.4997863769531, 147.15020751953125], [377.8577880859375, 350.125], [338.20654296875, 443.1150817871094], [427.8756103515625, 377.28399658203125], [427.9728088378906, 422.0450134277344]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.7938372648263743e-22, 0.13962369878195377, -0.4896898989878085, 0.20943951023931945, -1.002463008956721e-41, -1.1306756136265846e-33]"
"[[137.95396423339844, 311.98419189453125], [204.43557739257812, 74.47846221923828], [386.4977722167969, 149.2449188232422], [379.2240905761719, 352.33038330078125], [338.56982421875, 445.33331298828125], [429.7946472167969, 378.8304443359375], [427.97265625, 422.04437255859375]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.6144535383437332e-22, 0.1396237088175432, -0.4895884802640384, 0.20943951023931945, -8.494038486934024e-42, -1.01840258391493e-33]"
"[[137.9344940185547, 312.0105895996094], [205.2635955810547, 75.03929138183594], [387.1747131347656, 152.2231903076172], [379.7338562011719, 355.0098571777344], [337.9123229980469, 447.4811096191406], [431.1840515136719, 380.6158447265625], [427.97308349609375, 422.046630859375]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.4530081845093565e-22, 0.1396237185854188, -0.48949720835844596, 0.20943951023931945, -6.963446884300837e-42, -9.172760202034212e-34]"
"[[137.9694366455078, 311.9840087890625], [205.9698486328125, 75.52439880371094], [387.3187561035156, 155.78048706054688], [379.9268493652344, 357.9194030761719], [336.8154296875, 449.7167053222656], [432.5578918457031, 382.3664855957031], [427.98431396484375, 421.9820251464844]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.307707366058418e-22, 0.13962372803794232, -0.48941506808839774, 0.20943951023931945, -5.4328552816676506e-42, -8.261896170040412e-34]"
"[[137.9297637939453, 312.0071716308594], [206.65647888183594, 76.02876281738281], [387.58953857421875, 159.34764099121094], [380.2082824707031, 360.609130859375], [335.4465637207031, 451.26324462890625], [434.456787109375, 383.1531677246094], [428.0084533691406, 421.9224853515625]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.1769366294525735e-22, 0.13962373713983475, -0.4893411458407756, 0.20943951023931945, -4.6675594803510574e-42, -7.441467770430749e-34]"
"[[137.95765686035156, 311.9991760253906], [207.44964599609375, 76.4919204711914], [387.5353088378906, 162.41964721679688], [380.50048828125, 362.94488525390625], [333.52862548828125, 451.5328674316406], [437.00531005859375, 383.18792724609375], [428.0086669921875, 421.9219970703125]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.059242966507314e-22, 0.1396237458661517, -0.48927461940967815, 0.20943951023931945, -3.902263679034464e-42, -6.702500111489656e-34]"
"[[137.9317626953125, 312.0055236816406], [207.4510955810547, 76.50434875488281], [387.4937744140625, 162.43289184570312], [380.50384521484375, 362.94622802734375], [333.51177978515625, 451.5394287109375], [436.9892883300781, 383.21307373046875], [428.00885009765625, 421.91943359375]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-9.533186698565804e-23, 0.1396237542005455, -0.4892147488509293, 0.20943951023931945, -3.136967877717871e-42, -6.0369047665871e-34]"
"[[137.93028259277344, 312.0067443847656], [207.89588928222656, 76.79014587402344], [387.4526062011719, 164.937255859375], [380.885498046875, 364.4684753417969], [331.6894836425781, 450.77410888671875], [439.81268310546875, 382.5760803222656], [428.008544921875, 421.9231262207031]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-8.579868028709204e-23, 0.1396237621337763, -0.48916086825164684, 0.20943951023931945, -2.3716720764012776e-42, -5.437399284192687e-34]"
"[[137.92947387695312, 312.00701904296875], [208.42750549316406, 77.11044311523438], [387.1416015625, 167.30238342285156], [381.2083435058594, 365.4781188964844], [330.02789306640625, 449.0157165527344], [442.7632751464844, 380.5775146484375], [427.99273681640625, 421.9769592285156]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-7.721881225838267e-23, 0.13962376966243834, -0.4891123783233077, 0.20943951023931945, -1.6063762750846843e-42, -4.897421019394906e-34]"
"[[137.9303741455078, 312.0068664550781], [208.5659942626953, 77.2118911743164], [387.2037048339844, 167.79379272460938], [381.3908386230469, 365.9458923339844], [328.72357177734375, 446.4693603515625], [445.21160888671875, 378.0925598144531], [427.9930419921875, 421.978515625]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-6.949693103254425e-23, 0.139623776787873, -0.4890687397359097, 0.20943951023931945, -8.410804737680909e-43, -4.411062056972671e-34]"
"[[137.9292449951172, 312.0072021484375], [208.5625762939453, 77.21031951904297], [387.1963195800781, 167.8870849609375], [381.4195251464844, 365.7614440917969], [327.8017272949219, 443.7205505371094], [446.69671630859375, 375.63214111328125], [427.9930419921875, 421.9763488769531]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-6.254723792928969e-23, 0.13962378351524327, -0.48902946711907547, 0.20943951023931945, -4.584325731097942e-43, -3.9729981498536825e-34]"
"[[137.97085571289062, 311.9967956542969], [208.5642852783203, 77.21145629882812], [387.2237548828125, 167.7255401611328], [381.560791015625, 365.445068359375], [327.3424072265625, 441.75726318359375], [447.6943359375, 373.8895263671875], [428.0179748535156, 421.9173278808594]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-5.62925141363606e-23, 0.13962378985274773, -0.48899412366336487, 0.20943951023931945, -2.6710862278064583e-43, -3.578434128651687e-34]"
"[[137.92811584472656, 312.0078125], [208.55996704101562, 77.20928955078125], [387.2097473144531, 167.73240661621094], [381.5660095214844, 365.44464111328125], [327.3418273925781, 441.7579345703125], [447.69482421875, 373.88916015625], [427.9925537109375, 421.9767150878906]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-5.066326272272454e-23, 0.14136910389604124, -0.49070750834678817, 0.20245819323134215, 0.05, -0.05]"
"[[137.96974182128906, 311.9971923828125], [208.5623779296875, 77.21253967285156], [387.243408203125, 167.72523498535156], [381.72393798828125, 365.3045959472656], [327.3572082519531, 441.2724609375], [448.1986389160156, 373.3742370605469], [428.017578125, 421.91741943359375]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-2.4196809096824863e-10, 0.14293988498192012, -0.4922495401419657, 0.19617500792416256, 0.09500003433461801, -0.09500001927362822]"
"[[137.9264678955078, 312.00872802734375], [208.54832458496094, 77.2230224609375], [387.2463684082031, 167.72799682617188], [382.02386474609375, 365.6370849609375], [327.4765625, 441.514892578125], [448.6048583984375, 373.5544738769531], [427.9919128417969, 421.9775390625]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-6.894081291605153e-10, 0.14435357479460617, -0.4936372784681297, 0.19052014114770094, 0.13550009931186094, -0.1355000561707134]"
"[[137.9681396484375, 311.9979248046875], [208.64398193359375, 77.30059814453125], [387.16973876953125, 168.025146484375], [382.20513916015625, 366.2793273925781], [327.5026550292969, 442.14385986328125], [448.8306884765625, 374.23870849609375], [428.0166320800781, 421.9189453125]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.3092739182299109e-09, 0.14562588006920185, -0.49488613653731206, 0.18543076104888548, 0.17195019225402203, -0.17195010979832742]"
"[[137.92425537109375, 312.00970458984375], [208.7106475830078, 77.3670425415039], [387.1090087890625, 169.3137664794922], [382.4729309082031, 367.1893310546875], [327.52386474609375, 442.8000793457031], [449.2439880371094, 375.17706298828125], [427.9908752441406, 421.978271484375]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-2.071419825891744e-09, 0.14677093745026262, -0.4960099900560277, 0.18085031895995157, 0.2047553110323899, -0.20475517964052245]"
"[[137.94732666015625, 312.00201416015625], [208.709716796875, 77.3662338256836], [387.1162414550781, 169.3207244873047], [382.4708557128906, 367.1883850097656], [327.5241394042969, 442.7992858886719], [449.2442626953125, 375.1772155761719], [428.0158996582031, 421.9190368652344]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-2.657957894226e-09, 0.1478015605446405, -0.4970219219930403, 0.17672792107991106, 0.23427990721368958, -0.23427973755761097]"
"[[137.96400451660156, 311.9706726074219], [208.81671142578125, 77.46863555908203], [387.0349426269531, 170.77249145507812], [382.7508850097656, 368.4768371582031], [327.5228271484375, 444.0735168457031], [449.54534912109375, 376.3868103027344], [427.9900817871094, 421.97930908203125]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-3.3163577419287116e-09, 0.14872910679256385, -0.49793256123540097, 0.17301776298787458, 0.26085207056525406, -0.26085185731525445]"
"[[137.96495056152344, 311.9701843261719], [208.93931579589844, 77.56330108642578], [386.665771484375, 172.56422424316406], [382.8483581542969, 369.7189025878906], [327.48077392578125, 445.327392578125], [449.65191650390625, 377.5076599121094], [428.001708984375, 421.92413330078125]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-4.030387458096638e-09, 0.14956388324447345, -0.49875203263463774, 0.16967862070504175, 0.2847670448291944, -0.2847667835840094]"
"[[137.96434020996094, 311.9706115722656], [209.19386291503906, 77.71371459960938], [386.282958984375, 174.14373779296875], [382.9278869628906, 371.0301818847656], [327.4876708984375, 446.55401611328125], [449.802490234375, 378.4922790527344], [427.9794006347656, 421.9909362792969]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-4.699327133268034e-09, 0.15380584670016548, -0.4994895936556603, 0.15620141713852623, 0.30629053366338305, -0.3062902266638445]"
"[[137.98648071289062, 311.9725341796875], [209.41583251953125, 77.88689422607422], [386.10009765625, 175.6400604248047], [382.9176940917969, 372.2455139160156], [327.3876647949219, 447.6961669921875], [449.82940673828125, 379.52008056640625], [428.00384521484375, 421.93267822265625]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-5.490789338799218e-09, 0.1576235725550218, -0.5001531200440323, 0.14407193392866227, 0.32566172056856557, -0.32566135799867146]"
"[[137.96739196777344, 311.96685791015625], [209.41534423828125, 77.88624572753906], [386.09375, 175.6584014892578], [382.9123840332031, 372.24658203125], [327.3883361816406, 447.6968078613281], [449.8291931152344, 379.5198669433594], [427.9770202636719, 421.99786376953125]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-6.0132668489384085e-09, 0.1610595757047789, -0.5007506196665603, 0.1331553990397847, 0.3430957634817707, -0.3430953625126656]"
"[[137.98619079589844, 311.97119140625], [209.57376098632812, 78.03282928466797], [386.02496337890625, 176.880126953125], [382.8052673339844, 373.3222961425781], [327.214111328125, 448.6895446777344], [449.81268310546875, 380.57318115234375], [427.9855651855469, 421.97454833984375]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-6.613823295113579e-09, 0.16415194828912885, -0.5012881634142943, 0.1233305176397949, 0.35878644028005957, -0.35878599422221713]"
"[[137.95204162597656, 311.9904479980469], [209.709716796875, 78.15623474121094], [385.3194580078125, 178.2905731201172], [382.596923828125, 374.2385559082031], [326.9071350097656, 449.504638671875], [449.73504638671875, 381.7486267089844], [427.9777526855469, 421.99884033203125]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-7.280721229091008e-09, 0.16693505318995266, -0.5017717450517571, 0.11448812437980407, 0.37290808905594464, -0.37290759195454676]"
"[[137.96121215820312, 311.9880676269531], [209.87985229492188, 78.32763671875], [385.345703125, 179.1479949951172], [382.35845947265625, 375.2371826171875], [326.85003662109375, 451.06048583984375], [449.31903076171875, 383.4068298339844], [427.99896240234375, 421.9646911621094]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-7.647468289664662e-09, 0.16943990355710645, -0.502207338277999, 0.10652997044581232, 0.3856175319482569, -0.38561700455860465]"
